!Property,!Text,!Note
SettingsUsedSpaceAlert,Уведомлять о превышении,Settings used space alert label
SettingsUsedSpaceAlertTooltip,Устанавливает нижнее значение в процентах (%) для свободного пространства на диске при превышении которого происходит индикация на панели. Используйте 0 для отключения.,Settings used space alert tooltip
SettingsUseFahrenheit,Выводить температуру по Фаренгейту,Settings use fahrenheit label
SettingsUseFahrenheitTooltip,Температура для датчиков и оповещения будут выводиться в градусах Фаренгейта. По умолчанию в градусах Цельсия.,Settings use fahrenheit tooltip
SettingsUseGHz,Выводить частоту в ГГц,Settings use GHz label
SettingsUseGHzTooltip,Тактовая частота на панели диагностики выводится в ГГц. По умолчанию в МГц.,Settings use GHz tooltip
SettingsVerticalOffset,Смещение по вертикали,Vertical offset settings label
SettingsVerticalOffsetTooltip,Смещение панели диагностики по вертикали.,Vertical Offset settings tooltip
SetupCustomSubtitle,Используйте ползунки или текстовые поля для перемещения панель диагностики в нужное положение на рабочем столе.,Subtitle of the custom setup page
SetupCustomTitle,Настройка расположения,Title of the custom setup page
SetupDoneSubtitle,Если хотите настроить панель диагностики нажмите кнопку настройки.,Subtitle of the setup done page
SetupDoneText,Доступ к настройкам также можно получить через иконку шестеренки в правом верхнем углу панели или через иконку в трее на панели задач.,Text of the setup done page
SetupDoneTitle,Готово!,Title of the setup done page
SetupSubtitle,Быстрая установка поможет разместить панель диагностики в правильном положении.,Subtitle of the initial setup page
SetupText,Панель диагностики отображается и пристыкована к правому краю основного монитора?,Text of the initial setup page
SetupTitle,Начальная настройка,Title of the initial setup page
Sidebar,Панель диагностики,Title of the sidebar window
Time,Время,Sidebar clock title
UpdateErrorFatalText,Произошла ошибка при попытке обновления. Автоматическое обновление отключено.,Fatal text of the update error popup
UpdateErrorText,Не удается выполнить обновление. Проверьте подключение к интернету.,Text of the update error popup
UpdateErrorTitle,Ошибка обновления,Title of the update error popup
UpdateSuccessText,Используется последняя версия.,Text of the update success popup
UpdateTitle,Обновление,Title of the update window
